# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_upstream_gene_variant
A2ML1	A2ML1	NM_144670.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AATK	AATK	NM_001080395.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ABAT	NM_020686.6	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0
ABCA3	ABCA3	NM_001089.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABCB4	ABCB4	NM_000443.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABCB9	ABCB9	NM_019625.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABCC10	ABCC10	NM_001198934.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCC4	ABCC4	NM_005845.5	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0
ABCG2	ABCG2	NM_004827.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABCG8	ABCG8	NM_022437.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
ABHD6	ABHD6	NM_001320126.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABI2	ABI2	NM_001375670.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABI3BP	ABI3BP	NM_001375547.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABLIM1	ABLIM1	NM_002313.7	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABR	ABR	NM_021962.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ACAA2	ACAA2	NM_006111.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACAD10	ACAD10	NM_025247.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACADL	ACADL	NM_001608.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACADS	ACADS	NM_000017.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACAP1	ACAP1	NM_014716.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACAT2	ACAT2	NM_005891.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACBD5	ACBD5	NM_145698.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACER3	ACER3	NM_018367.7	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ACLY	ACLY	NM_001096.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACOT2	ACOT2	NM_006821.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
